dens  yield location
 23.48 223.02   0
 26.22 234.24   0
 27.79 221.68   0
 32.88 221.94   0
 33.27 197.45   0
 36.79 189.64   0
 37.58 211.20   0
 37.58 191.36   0
 41.49 156.62   0
 42.66 168.12   0
 44.23 197.89   0
 44.23 154.14   0
 51.67 153.26   0
 55.58 142.79   0
 55.58 126.17   0
 57.93 167.95   0
 58.71 144.54   0
 59.50 151.30   0
 60.67 130.52   0
 62.63 125.30   0
 67.71 114.05   0
 70.06 116.31   0
 70.45 120.71   0
 73.98 134.16   0
 73.98 114.48   0
 78.67  91.17   0
 95.90 101.27   0
 96.68  97.33   0
 96.68 101.37   0
101.38  97.20   0
103.72  87.12   0
104.51  81.71   0
105.68  76.44   0
108.03  87.10   0
117.82  84.54   0
127.21  69.09   0
134.26  64.40   0
137.39  66.81   0
151.87  63.01   0
163.61  55.45   0
166.35  62.54   0
184.75  54.68   0
 18.78 272.15   1
 21.25 235.23   1
 23.23 180.47   1
 27.18 177.31   1
 30.15 141.28   1
 31.63 169.39   1
 32.12 138.17   1
 32.62 171.81   1
 32.62 112.02   1
 33.61 156.09   1
 37.07 137.29   1
 38.55 154.10   1
 39.54 124.17   1
 39.54 146.28   1
 41.02 105.47   1
 42.50 139.24   1
 43.98 148.31   1
 45.47 110.44   1
 49.92  90.72   1
 50.90 102.61   1
 53.87 107.36   1
 57.82  92.66   1
 61.78  96.52   1
 61.78  94.71   1
 63.75  99.86   1
 67.71  93.37   1
 71.66  89.78   1
 77.59  69.34   1
 80.56  73.74   1
 86.49  75.17   1
 88.46  72.98   1
 89.45  79.94   1
 90.93  79.13   1
 92.91  70.93   1
101.81  60.99   1
103.78  74.09   1
115.15  49.45   1
123.06  56.65   1
144.31  47.84   1
155.68  40.03   1
158.15  38.70   1
180.39  28.96   1
